ID,First_Name,Last_Name,Legacy_Intent_Binary,Lifetime_Giving,Rating,Primary_Constituent_Type,Prospect_Stage,Geographic_Region,Engagement_Score,Estimated_Age
18966,Donor_18966,Smith,0,1365,N,Friend,Identification,Southeast,97,27
39318,Donor_39318,Smith,0,20931,L,Alum,Identification,Southeast,53,31
19329,Donor_19329,Smith,0,47425,L,Friend,Identification,Southeast,21,46
12861,Donor_12861,Smith,0,16628,O,Alum,Identification,West Coast,87,47
49482,Legacy_4482,Johnson,1,494122,F,Trustee,Solicitation,Southeast,97,52
25758,Donor_25758,Smith,0,14770,L,Alum,Qualification,Southeast,22,59
39781,Donor_39781,Smith,0,43087,L,Alum,Cultivation,West Coast,22,26
9948,Donor_9948,Smith,0,278,O,Alum,Qualification,West Coast,37,38
20647,Donor_20647,Smith,0,24011,K,Alum,Cultivation,Southeast,85,26
47488,Legacy_2488,Johnson,1,601679,A,Trustee,Solicitation,Midwest,68,71
4188,Donor_4188,Smith,0,47801,L,Parent,Qualification,Midwest,92,68
46807,Legacy_1807,Johnson,1,358434,C,Regent,Stewardship,Northeast,100,72
37514,Donor_37514,Smith,0,5834,O,Parent,Cultivation,Northeast,94,52
25933,Donor_25933,Smith,0,12071,O,Friend,Qualification,Southeast,2,38
1808,Donor_1808,Smith,0,49199,O,Parent,Cultivation,West Coast,52,63
5122,Donor_5122,Smith,0,45976,K,Alum,Cultivation,West Coast,85,29
13175,Donor_13175,Smith,0,30598,K,Friend,Identification,Northeast,77,30
37916,Donor_37916,Smith,0,4853,M,Friend,Identification,West Coast,29,39
47170,Legacy_2170,Johnson,1,618393,F,Trustee,Stewardship,Southeast,86,54
8187,Donor_8187,Smith,0,21761,N,Parent,Qualification,West Coast,50,33
31274,Donor_31274,Smith,0,39943,O,Friend,Qualification,Midwest,46,63
40001,Donor_40001,Smith,0,41933,O,Alum,Cultivation,West Coast,2,75
35059,Donor_35059,Smith,0,3115,N,Alum,Qualification,Northeast,63,27
30259,Donor_30259,Smith,0,30867,N,Friend,Cultivation,West Coast,89,62
15627,Donor_15627,Smith,0,47940,M,Alum,Qualification,Southeast,88,84
20472,Donor_20472,Smith,0,30022,L,Friend,Qualification,West Coast,60,82
20686,Donor_20686,Smith,0,49745,N,Parent,Cultivation,Midwest,64,69
49497,Legacy_4497,Johnson,1,49442,A,Alum,Stewardship,Southeast,77,77
16035,Donor_16035,Smith,0,48296,L,Friend,Cultivation,West Coast,2,72
40436,Donor_40436,Smith,0,42330,N,Friend,Identification,Southeast,48,37
27121,Donor_27121,Smith,0,13507,O,Parent,Qualification,Midwest,99,81
5742,Donor_5742,Smith,0,47109,L,Alum,Qualification,Southeast,91,46
31190,Donor_31190,Smith,0,5017,O,Friend,Cultivation,Southeast,35,36
29176,Donor_29176,Smith,0,34412,M,Parent,Cultivation,Northeast,16,84
22416,Donor_22416,Smith,0,40049,K,Alum,Identification,Southeast,74,74
22910,Donor_22910,Smith,0,21984,L,Friend,Identification,West Coast,99,40
26781,Donor_26781,Smith,0,14787,N,Parent,Cultivation,West Coast,88,37
7600,Donor_7600,Smith,0,11937,P,Friend,Cultivation,West Coast,78,73
4968,Donor_4968,Smith,0,32409,L,Parent,Qualification,Midwest,67,45
5190,Donor_5190,Smith,0,47030,K,Friend,Qualification,Northeast,53,48
2802,Donor_2802,Smith,0,27349,K,Friend,Identification,Southeast,99,66
41563,Donor_41563,Smith,0,26645,L,Parent,Qualification,Southeast,41,62
118,Donor_118,Smith,0,42628,M,Friend,Cultivation,West Coast,60,52
1888,Donor_1888,Smith,0,9204,K,Friend,Qualification,Northeast,47,79
22866,Donor_22866,Smith,0,46178,L,Friend,Cultivation,West Coast,92,33
12044,Donor_12044,Smith,0,9782,P,Alum,Cultivation,Midwest,75,45
12754,Donor_12754,Smith,0,3674,K,Friend,Cultivation,Southeast,43,32
31927,Donor_31927,Smith,0,47478,O,Parent,Qualification,Midwest,22,32
38670,Donor_38670,Smith,0,46783,M,Alum,Cultivation,Southeast,87,50
16364,Donor_16364,Smith,0,37818,L,Alum,Qualification,Midwest,86,65
49373,Legacy_4373,Johnson,1,705912,B,Alum,Solicitation,West Coast,77,77
4260,Donor_4260,Smith,0,22099,P,Parent,Qualification,Midwest,23,30
26083,Donor_26083,Smith,0,35564,P,Alum,Qualification,Northeast,36,60
31125,Donor_31125,Smith,0,41011,P,Parent,Identification,Northeast,9,73
18407,Donor_18407,Smith,0,6311,L,Friend,Cultivation,Midwest,48,83
7589,Donor_7589,Smith,0,49941,K,Friend,Qualification,Northeast,81,63
29926,Donor_29926,Smith,0,42937,L,Friend,Identification,West Coast,47,73
45693,Legacy_693,Johnson,1,36122,F,Alum,Solicitation,Northeast,75,58
24038,Donor_24038,Smith,0,15156,P,Friend,Cultivation,West Coast,32,73
2132,Donor_2132,Smith,0,22919,K,Alum,Cultivation,West Coast,15,57
34587,Donor_34587,Smith,0,33023,P,Alum,Identification,West Coast,16,28
39780,Donor_39780,Smith,0,24472,P,Parent,Qualification,Midwest,42,55
43889,Donor_43889,Smith,0,10503,N,Alum,Cultivation,West Coast,77,84
13789,Donor_13789,Smith,0,45239,P,Alum,Cultivation,Northeast,79,51
29392,Donor_29392,Smith,0,9756,L,Alum,Qualification,Midwest,78,78
27019,Donor_27019,Smith,0,33206,L,Alum,Cultivation,West Coast,78,47
40911,Donor_40911,Smith,0,47105,O,Alum,Identification,Midwest,33,56
11768,Donor_11768,Smith,0,42855,O,Friend,Identification,Southeast,93,42
29228,Donor_29228,Smith,0,10094,O,Friend,Identification,Midwest,18,27
17833,Donor_17833,Smith,0,36576,K,Alum,Cultivation,Northeast,23,46
48763,Legacy_3763,Johnson,1,874106,D,Regent,Solicitation,Northeast,67,63
35303,Donor_35303,Smith,0,1483,P,Friend,Qualification,Southeast,62,82
7080,Donor_7080,Smith,0,41660,K,Parent,Cultivation,West Coast,2,52
23600,Donor_23600,Smith,0,29156,K,Parent,Identification,Southeast,71,27
10082,Donor_10082,Smith,0,24191,L,Friend,Qualification,Southeast,40,60
865,Donor_865,Smith,0,15391,P,Alum,Qualification,Southeast,30,37
30012,Donor_30012,Smith,0,10404,O,Alum,Identification,Midwest,9,69
563,Donor_563,Smith,0,34331,K,Parent,Cultivation,Northeast,64,54
13432,Donor_13432,Smith,0,21836,N,Friend,Cultivation,Northeast,18,78
10041,Donor_10041,Smith,0,42469,N,Friend,Identification,Southeast,63,53
23383,Donor_23383,Smith,0,6730,M,Alum,Cultivation,Midwest,77,56
38464,Donor_38464,Smith,0,31067,M,Friend,Cultivation,West Coast,57,85
20578,Donor_20578,Smith,0,24893,K,Friend,Cultivation,Southeast,31,58
37741,Donor_37741,Smith,0,26586,L,Friend,Cultivation,Southeast,49,48
41159,Donor_41159,Smith,0,33789,M,Parent,Qualification,Northeast,89,69
45362,Legacy_362,Johnson,1,271699,F,Trustee,Solicitation,West Coast,70,63
41348,Donor_41348,Smith,0,7439,L,Parent,Cultivation,Southeast,53,44
46461,Legacy_1461,Johnson,1,648873,F,Alum,Stewardship,West Coast,76,58
27279,Donor_27279,Smith,0,46132,K,Parent,Cultivation,Southeast,79,39
12661,Donor_12661,Smith,0,17229,N,Alum,Identification,Midwest,93,83
44112,Donor_44112,Smith,0,18802,P,Alum,Identification,Northeast,39,31
8942,Donor_8942,Smith,0,3670,O,Friend,Qualification,West Coast,75,84
8693,Donor_8693,Smith,0,24719,P,Parent,Identification,Southeast,21,53
9045,Donor_9045,Smith,0,38221,O,Friend,Qualification,Northeast,51,50
17194,Donor_17194,Smith,0,20718,K,Alum,Identification,Southeast,92,68
34139,Donor_34139,Smith,0,4584,M,Parent,Qualification,Midwest,1,67
14694,Donor_14694,Smith,0,6015,P,Friend,Qualification,West Coast,69,30
25680,Donor_25680,Smith,0,28482,N,Alum,Identification,Northeast,24,69
10027,Donor_10027,Smith,0,2420,M,Parent,Qualification,Southeast,29,26
39260,Donor_39260,Smith,0,23899,K,Friend,Cultivation,Southeast,34,66
41007,Donor_41007,Smith,0,11001,N,Alum,Identification,Southeast,34,76
7273,Donor_7273,Smith,0,9143,L,Friend,Cultivation,West Coast,87,51
5219,Donor_5219,Smith,0,32564,N,Parent,Identification,Southeast,12,38
41214,Donor_41214,Smith,0,26043,N,Alum,Identification,Midwest,3,74
11656,Donor_11656,Smith,0,41865,O,Parent,Cultivation,Midwest,15,30
46006,Legacy_1006,Johnson,1,453734,B,Regent,Stewardship,Midwest,81,63
39424,Donor_39424,Smith,0,44613,M,Parent,Cultivation,Midwest,39,56
45229,Legacy_229,Johnson,1,188865,A,Alum,Cultivation,Northeast,60,52
39074,Donor_39074,Smith,0,4243,P,Alum,Identification,West Coast,67,63
24653,Donor_24653,Smith,0,2490,P,Alum,Qualification,Midwest,45,46
23528,Donor_23528,Smith,0,49735,P,Parent,Identification,Northeast,59,26
42739,Donor_42739,Smith,0,26269,O,Alum,Identification,West Coast,76,49
44556,Donor_44556,Smith,0,42838,M,Friend,Cultivation,Southeast,92,34
1447,Donor_1447,Smith,0,42516,N,Alum,Qualification,Northeast,5,59
48485,Legacy_3485,Johnson,1,86478,A,Trustee,Cultivation,Northeast,75,49
36728,Donor_36728,Smith,0,10075,L,Parent,Qualification,Midwest,87,79
7050,Donor_7050,Smith,0,12808,P,Friend,Cultivation,Midwest,99,49
13676,Donor_13676,Smith,0,1804,N,Parent,Qualification,Northeast,19,32
7906,Donor_7906,Smith,0,42565,K,Friend,Identification,Southeast,58,29
18600,Donor_18600,Smith,0,8227,O,Parent,Identification,Southeast,29,31
32450,Donor_32450,Smith,0,42815,K,Parent,Qualification,West Coast,75,37
43190,Donor_43190,Smith,0,16239,O,Parent,Identification,West Coast,20,63
13810,Donor_13810,Smith,0,34126,K,Parent,Qualification,West Coast,19,55
26316,Donor_26316,Smith,0,23083,O,Friend,Qualification,Northeast,65,59
7204,Donor_7204,Smith,0,30721,L,Alum,Identification,Southeast,40,74
4406,Donor_4406,Smith,0,27605,N,Parent,Qualification,Southeast,53,36
30541,Donor_30541,Smith,0,10438,M,Parent,Qualification,Southeast,11,30
9186,Donor_9186,Smith,0,9622,O,Friend,Identification,Northeast,12,64
23819,Donor_23819,Smith,0,30042,L,Parent,Identification,Northeast,77,42
40485,Donor_40485,Smith,0,41970,M,Alum,Cultivation,Midwest,6,39
36630,Donor_36630,Smith,0,42063,L,Parent,Cultivation,West Coast,3,53
9547,Donor_9547,Smith,0,6698,N,Alum,Qualification,Midwest,1,79
13694,Donor_13694,Smith,0,8513,K,Parent,Cultivation,Southeast,98,71
8802,Donor_8802,Smith,0,49590,O,Friend,Cultivation,Southeast,22,61
4692,Donor_4692,Smith,0,36919,O,Friend,Qualification,Northeast,94,28
40536,Donor_40536,Smith,0,21152,P,Alum,Cultivation,Midwest,58,48
22309,Donor_22309,Smith,0,20428,K,Alum,Cultivation,Midwest,12,55
46917,Legacy_1917,Johnson,1,891518,A,Trustee,Cultivation,Northeast,95,59
37708,Donor_37708,Smith,0,6975,N,Alum,Qualification,Midwest,64,27
47424,Legacy_2424,Johnson,1,266169,D,Regent,Solicitation,Southeast,74,69
26720,Donor_26720,Smith,0,6103,L,Alum,Cultivation,Southeast,96,60
2771,Donor_2771,Smith,0,36216,P,Parent,Identification,West Coast,13,25
9766,Donor_9766,Smith,0,16036,L,Parent,Qualification,West Coast,66,76
32914,Donor_32914,Smith,0,48908,K,Parent,Identification,Midwest,14,53
20478,Donor_20478,Smith,0,29289,M,Parent,Identification,Southeast,29,80
32331,Donor_32331,Smith,0,13047,K,Friend,Qualification,Northeast,27,78
10819,Donor_10819,Smith,0,45967,L,Friend,Identification,Southeast,92,27
43648,Donor_43648,Smith,0,19358,M,Friend,Identification,Southeast,93,33
49597,Legacy_4597,Johnson,1,47793,D,Regent,Solicitation,Midwest,71,71
6596,Donor_6596,Smith,0,37885,M,Alum,Qualification,Southeast,44,33
6992,Donor_6992,Smith,0,45171,K,Alum,Cultivation,Northeast,89,31
24447,Donor_24447,Smith,0,22806,P,Parent,Cultivation,West Coast,52,65
9133,Donor_9133,Smith,0,43753,N,Parent,Qualification,West Coast,23,54
10880,Donor_10880,Smith,0,11287,N,Friend,Identification,Midwest,85,43
48101,Legacy_3101,Johnson,1,268677,E,Trustee,Stewardship,Northeast,64,71
9128,Donor_9128,Smith,0,36494,N,Parent,Qualification,West Coast,43,41
34700,Donor_34700,Smith,0,34567,L,Alum,Cultivation,Southeast,82,72
45020,Legacy_20,Johnson,1,658227,D,Alum,Solicitation,Northeast,71,68
4077,Donor_4077,Smith,0,30382,L,Alum,Cultivation,West Coast,30,44
21575,Donor_21575,Smith,0,1194,P,Alum,Qualification,Southeast,78,27
15653,Donor_15653,Smith,0,39560,K,Parent,Cultivation,Midwest,92,63
42623,Donor_42623,Smith,0,24670,M,Parent,Qualification,Southeast,46,36
15052,Donor_15052,Smith,0,20991,O,Friend,Identification,Midwest,74,66
10386,Donor_10386,Smith,0,19614,M,Alum,Cultivation,Southeast,36,33
33468,Donor_33468,Smith,0,37433,O,Parent,Cultivation,West Coast,54,58
29372,Donor_29372,Smith,0,13423,P,Alum,Cultivation,West Coast,9,54
18091,Donor_18091,Smith,0,16863,O,Alum,Qualification,West Coast,36,33
3792,Donor_3792,Smith,0,9937,O,Parent,Qualification,West Coast,30,52
5065,Donor_5065,Smith,0,19367,O,Alum,Identification,West Coast,69,72
31660,Donor_31660,Smith,0,23855,L,Friend,Cultivation,Midwest,19,35
14118,Donor_14118,Smith,0,29597,N,Parent,Cultivation,Northeast,60,68
15311,Donor_15311,Smith,0,38587,N,Parent,Identification,Southeast,42,70
18405,Donor_18405,Smith,0,36004,M,Parent,Identification,West Coast,84,43
45828,Legacy_828,Johnson,1,223485,E,Trustee,Cultivation,West Coast,96,57
9590,Donor_9590,Smith,0,15104,L,Parent,Cultivation,Midwest,86,84
7336,Donor_7336,Smith,0,3217,O,Parent,Cultivation,West Coast,37,61
41564,Donor_41564,Smith,0,16242,O,Friend,Cultivation,Northeast,55,33
406,Donor_406,Smith,0,42042,P,Friend,Qualification,Midwest,49,53
38493,Donor_38493,Smith,0,31728,N,Friend,Identification,Midwest,16,67
10696,Donor_10696,Smith,0,37952,O,Alum,Cultivation,Southeast,35,48
24536,Donor_24536,Smith,0,41650,N,Friend,Cultivation,Southeast,84,40
17823,Donor_17823,Smith,0,3748,L,Parent,Cultivation,Southeast,77,62
49729,Legacy_4729,Johnson,1,944908,E,Regent,Stewardship,Midwest,92,57
44870,Donor_44870,Smith,0,41467,M,Alum,Identification,Northeast,38,33
45379,Legacy_379,Johnson,1,671587,C,Trustee,Stewardship,West Coast,85,45
2457,Donor_2457,Smith,0,1692,M,Alum,Qualification,Northeast,95,80
41247,Donor_41247,Smith,0,49550,P,Alum,Cultivation,West Coast,43,59
38518,Donor_38518,Smith,0,35143,N,Friend,Cultivation,Southeast,70,30
11325,Donor_11325,Smith,0,4843,K,Alum,Qualification,West Coast,2,26
19044,Donor_19044,Smith,0,19077,P,Friend,Identification,Northeast,60,74
20526,Donor_20526,Smith,0,43178,O,Parent,Cultivation,Northeast,26,33
1516,Donor_1516,Smith,0,29748,K,Parent,Cultivation,Northeast,42,52
2156,Donor_2156,Smith,0,4833,P,Parent,Qualification,West Coast,81,53
34540,Donor_34540,Smith,0,870,M,Alum,Cultivation,Northeast,10,74
29381,Donor_29381,Smith,0,8921,M,Alum,Cultivation,Southeast,7,33
33787,Donor_33787,Smith,0,46505,M,Parent,Qualification,West Coast,90,85
14921,Donor_14921,Smith,0,19299,O,Alum,Qualification,Northeast,9,37
33341,Donor_33341,Smith,0,887,L,Alum,Qualification,Southeast,3,61
12609,Donor_12609,Smith,0,12428,N,Alum,Qualification,Northeast,9,77
23355,Donor_23355,Smith,0,34776,P,Friend,Cultivation,Southeast,42,68
23758,Donor_23758,Smith,0,4315,L,Friend,Qualification,Midwest,89,83
14534,Donor_14534,Smith,0,23881,N,Friend,Identification,Midwest,62,57
12335,Donor_12335,Smith,0,49745,L,Parent,Qualification,West Coast,30,78
37574,Donor_37574,Smith,0,31272,M,Friend,Qualification,Southeast,27,33
2872,Donor_2872,Smith,0,19264,M,Friend,Cultivation,West Coast,6,84
31191,Donor_31191,Smith,0,36159,K,Alum,Identification,Southeast,43,48
34050,Donor_34050,Smith,0,1433,N,Alum,Qualification,West Coast,45,45
47919,Legacy_2919,Johnson,1,117935,E,Regent,Cultivation,Southeast,93,79
30640,Donor_30640,Smith,0,42611,N,Friend,Identification,Southeast,65,59
14015,Donor_14015,Smith,0,45555,K,Parent,Qualification,Southeast,55,60
11786,Donor_11786,Smith,0,10772,P,Alum,Cultivation,West Coast,86,32
32382,Donor_32382,Smith,0,14852,N,Parent,Identification,Midwest,28,64
9108,Donor_9108,Smith,0,48750,M,Parent,Qualification,Northeast,66,38
22191,Donor_22191,Smith,0,7971,O,Alum,Identification,Southeast,67,36
41165,Donor_41165,Smith,0,42222,L,Friend,Identification,Southeast,34,66
37131,Donor_37131,Smith,0,3448,P,Friend,Identification,Southeast,6,63
37726,Donor_37726,Smith,0,40690,M,Parent,Identification,Midwest,42,85
36699,Donor_36699,Smith,0,2409,K,Parent,Cultivation,West Coast,75,57
45372,Legacy_372,Johnson,1,615134,F,Alum,Stewardship,Northeast,72,45
49612,Legacy_4612,Johnson,1,865607,E,Trustee,Solicitation,Midwest,87,51
36063,Donor_36063,Smith,0,46730,N,Alum,Qualification,Northeast,56,40
28112,Donor_28112,Smith,0,13008,N,Alum,Qualification,Northeast,14,38
26319,Donor_26319,Smith,0,24410,O,Alum,Cultivation,Southeast,68,31
22365,Donor_22365,Smith,0,16639,L,Alum,Qualification,Midwest,74,29
21221,Donor_21221,Smith,0,41362,O,Friend,Identification,Southeast,72,59
38137,Donor_38137,Smith,0,4024,L,Parent,Qualification,Midwest,40,83
43832,Donor_43832,Smith,0,31637,N,Alum,Cultivation,Northeast,51,85
30503,Donor_30503,Smith,0,46033,L,Friend,Cultivation,Northeast,77,43
20851,Donor_20851,Smith,0,33008,P,Parent,Qualification,Southeast,25,74
311,Donor_311,Smith,0,3759,K,Friend,Cultivation,West Coast,47,57
36504,Donor_36504,Smith,0,32908,M,Parent,Identification,Southeast,10,59
37286,Donor_37286,Smith,0,40962,L,Parent,Cultivation,Northeast,4,65
1077,Donor_1077,Smith,0,14666,L,Friend,Qualification,Midwest,51,36
28934,Donor_28934,Smith,0,39877,O,Parent,Qualification,West Coast,45,38
19527,Donor_19527,Smith,0,209,O,Alum,Qualification,Midwest,10,34
49423,Legacy_4423,Johnson,1,685060,D,Regent,Cultivation,Midwest,83,76
